"","Afghanistan","Angola","Albanie","Andorre","Le monde arabe","Émirats arabes unis","Argentine","Arménie","Samoa américaines","Date"
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,1960-01-01
"NA.1",NA,NA,NA,NA,NA,NA,5.42784287951248,NA,NA,1961-01-01
"NA.2",NA,NA,NA,NA,NA,NA,-0.852021523481966,NA,NA,1962-01-01
"NA.3",NA,NA,NA,NA,NA,NA,-5.30819682651727,NA,NA,1963-01-01
"NA.4",NA,NA,NA,NA,NA,NA,10.1302976614338,NA,NA,1964-01-01
"NA.5",NA,NA,NA,NA,NA,NA,10.5694333403429,NA,NA,1965-01-01
"NA.6",NA,NA,NA,NA,NA,NA,-0.659726171593704,NA,NA,1966-01-01
"NA.7",NA,NA,NA,NA,NA,NA,3.1919966233703,NA,NA,1967-01-01
"NA.8",NA,NA,NA,NA,NA,NA,4.82250078158646,NA,NA,1968-01-01
"NA.9",NA,NA,NA,NA,NA,NA,9.67952600806899,NA,NA,1969-01-01
"NA.10",NA,NA,NA,NA,NA,NA,3.04564331900328,NA,NA,1970-01-01
"NA.11",NA,NA,NA,4.64946536081882,NA,NA,5.65813108318036,NA,NA,1971-01-01
"NA.12",NA,NA,NA,8.14974348860618,NA,NA,1.62841651625511,NA,NA,1972-01-01
"NA.13",NA,NA,NA,7.78846720294044,NA,NA,2.81175404095775,NA,NA,1973-01-01
"NA.14",NA,NA,NA,5.61878972962946,NA,NA,5.53380439483222,NA,NA,1974-01-01
"NA.15",NA,NA,NA,0.542205658763677,NA,NA,-0.0284121027670921,NA,NA,1975-01-01
"NA.16",NA,NA,NA,3.30378704950753,15.9031516079944,16.526856487528,-2.01825151667566,NA,NA,1976-01-01
"NA.17",NA,NA,NA,2.83857556610091,8.50550096656832,21.4393301622724,6.93414775537975,NA,NA,1977-01-01
"NA.18",NA,NA,NA,1.46300017893421,-0.798476186922215,-1.58960330014759,-4.50612480247693,NA,NA,1978-01-01
"NA.19",NA,NA,NA,0.0415571951292577,11.605057353708,20.9235730764523,10.2227634648727,NA,NA,1979-01-01
"NA.20",NA,NA,NA,2.20872760693054,9.14506751862962,23.8747748930489,4.15176234244557,NA,NA,1980-01-01
"NA.21",NA,NA,5.74563529200682,-0.132474511474584,2.68708383254845,4.65917666989016,-5.68952800019454,NA,NA,1981-01-01
"NA.22",NA,NA,2.94859680156875,1.24646111342553,-8.9925725353927,-6.71931618775936,-4.95717851904021,NA,NA,1982-01-01
"NA.23",NA,NA,1.10493826182693,1.7701183169325,-6.57356899578258,-4.74582069446205,3.87512342400915,NA,NA,1983-01-01
"NA.24",NA,NA,-1.2515966446984,1.78468669356819,1.06640451994264,4.01695128594224,2.21177350377243,NA,NA,1984-01-01
"NA.25",NA,NA,1.7806439597726,2.32143303219918,-2.16460950525548,-3.59447652685392,-7.58667718413531,NA,NA,1985-01-01
"NA.26",NA,2.80000000794205,5.63724317825194,3.2533217783064,4.46288865462701,-14.9581365517104,7.87577983041486,NA,NA,1986-01-01
"NA.27",NA,7.9000000036751,-0.787842655012994,5.54712217053806,-0.626386706730514,3.38198171435913,2.90999313057101,NA,NA,1987-01-01
"NA.28",NA,5.59999998070748,-1.42003965482256,5.0943262032322,5.58877530570663,-2.6189077195029,-2.55690487694625,NA,NA,1988-01-01
